COURSE NUMBER,COURSE TITLE,MINIMUM CREDITS,MAXIMUM CREDITS,GRADING METHOD,GEN_EDS FULFILLED,SECTION ID,INSTRUCTOR,TOTAL SEATS,OPEN SEATS,WAITLIST COUNT,LECTURE TIME,2ND LISTED LECTURE TIME,3RD LISTED LECTURE TIME,DISCUSSION TIME,2ND LISTED DISCUSSION TIME,LAB TIME,2ND LISTED LAB TIME,LECTURE ROOM,2ND LISTED LECTURE ROOM,3RD LISTED LECTURE ROOM,DISCUSSION ROOM,2ND LISTED DISCUSSION ROOM,LAB ROOM,2ND LISTED LAB ROOM,UNSPECIFIED TIME MESSAGE,HAS LECTURE,HAS 2ND LISTED LECTURE,HAS 3RD LISTED LECTURE,HAS DISCUSSION,HAS 2ND LISTED DISCUSSION,HAS LAB,HAS 2ND LISTED LAB,IS NORMAL,IS BLENDED (NORMAL AND ONLINE),IS ONLINE,SPECIAL RESTRICTION,PREREQUISITE,COREQUISITE,RESTRICTION,CREDIT ONLY GRANTED FOR,FORMERLY,RECOMMENDED,CROSS-LISTED WITH,DESCRIPTION
"AAAS100","Introduction to African American and Africana Studies","3","3","Reg, P-F, Aud","DSHS,DVUP","0101","Shane Walsh","35","0","0","MWF 10:00am-10:50am","","","","","","","SQH 1121","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP100 or AAAS100","AASP100","","","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
"AAAS100","Introduction to African American and Africana Studies","3","3","Reg, P-F, Aud","DSHS,DVUP","0201","Shane Walsh","35","3","0","MWF 12:00pm-12:50pm","","","","","","","TYD 2111","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP100 or AAAS100","AASP100","","","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
"AAAS100","Introduction to African American and Africana Studies","3","3","Reg, P-F, Aud","DSHS,DVUP","0301","George Kintiba","70","50","0","TuTh 9:30am-10:45am","","","","","","","ESJ 2212","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP100 or AAAS100","AASP100","","","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
"AAAS100","Introduction to African American and Africana Studies","3","3","Reg, P-F, Aud","DSHS,DVUP","0401","Jason Nichols","30","0","1","TuTh 11:00am-12:15pm","","","","","","","ESJ B0324","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP100 or AAAS100","AASP100","","","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
"AAAS100","Introduction to African American and Africana Studies","3","3","Reg, P-F, Aud","DSHS,DVUP","0501","Jason Nichols","35","0","1","TuTh 12:30pm-1:45pm","","","","","","","ESJ B0324","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP100 or AAAS100","AASP100","","","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
"AAAS101","Public Policy and the Black Community","3","3","Reg, P-F, Aud","DSHS","0101","Chinyere Osuji","40","14","1","TuTh 11:00am-12:15pm","","","","","","","ONLINE","","","","","","","","1","0","0","0","0","0","0","0","0","1","","","","","AASP101 or AAAS101","AASP101","","","The impact of public policies on the Black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era."
"AAAS187","The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex","3","3","Reg, P-F, Aud","DSHS,DVUP,SCIS","0101","Robert Choflet","30","0","1","Tu 3:30pm-6:00pm","","","","","","","ASY 3211","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP187 or AAAS187","AASP187","AASP100","","Students will examine the birth of the racial caste system following the abolition of slavery, the parallels between the racial hierarchy of the Jim Crow system and contemporary mass incarceration, and the rise of the prison industrial complex as a multi-billon business which thrives on the oppression of low-income populations and poor communities of color."
"AAAS187","The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex","3","3","Reg, P-F, Aud","DSHS,DVUP,SCIS","0201","Joseph Richardson","30","22","0","W 3:00pm-5:30pm","","","","","","","TWS 0201","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP187 or AAAS187","AASP187","AASP100","","Students will examine the birth of the racial caste system following the abolition of slavery, the parallels between the racial hierarchy of the Jim Crow system and contemporary mass incarceration, and the rise of the prison industrial complex as a multi-billon business which thrives on the oppression of low-income populations and poor communities of color."
"AAAS200","African Civilization","3","3","Reg, P-F, Aud","DSHU","0101","George Kintiba","40","0","0","TuTh 12:30pm-1:45pm","","","","","","","TWS 0214","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP200 or AAAS200","AASP200","","","A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization."
"AAAS202","Black Culture in the United States","3","3","Reg, P-F, Aud","DSHS,DVUP","0301","Angelica Dunbar","35","0","0","TuTh 11:00am-12:15pm","","","","","","","MMH 0100","","","","","","","","1","0","0","0","0","0","0","1","0","0","","","","","AASP202 or AAAS202","AASP202","","","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of Black creative expression from the 19th-century to the present."
